HDI_rank,Country,1990,2000,2010,2015,2020,2021,2022,2023,Change_in_HDI_rank_2015_2023,Avg_annual_growth_1990_2000,Avg_annual_growth_2000_2010,Avg_annual_growth_2010_2023,Avg_annual_growth_1990_2023
117.0,Jamaica,0.662,,0.659,0.708,0.713,0.711,0.703,0.718,0.72,-6.0,-0.04540990092717356,0.7197836709076144,0.12936913527406002
117.0,Kyrgyzstan,0.649,,0.627,0.668,0.695,0.7,0.704,0.717,0.72,1.0,-0.34426779552413356,0.6354266525978369,0.5783045190410396
117.0,Philippines,0.593,,0.632,0.669,0.69,0.699,0.69,0.714,0.72,3.0,0.6389827914606849,0.5705682351632602,0.5667318204836791
120.0,Morocco,0.451,,0.528,0.607,0.659,0.683,0.69,0.704,0.71,7.0,1.5887784185791398,1.4040911229548758,1.2129603284366297
121.0,Venezuela (Bolivarian Republic of),0.658,,0.703,0.764,0.768,0.699,0.696,0.706,0.709,-37.0,0.6637124785545234,0.835580622898946,-0.5730614154565328
122.0,Samoa,,,0.676,0.708,0.708,0.708,0.706,0.703,0.708,-9.0,,0.4635814057023735,0.0
123.0,Nicaragua,0.515,,0.593,0.651,0.679,0.676,0.682,0.701,0.706,0.0,1.4202662739568384,0.9375198738084123,0.6258394368066966
124.0,Nauru,,,,0.616,0.66,0.684,0.692,0.7,0.703,2.0,,,1.021411372740011
125.0,Bhutan,,,,0.593,0.637,0.688,0.691,0.695,0.698,9.0,,,1.26193218827777
126.0,Eswatini (Kingdom of),0.57,,0.493,0.534,0.607,0.657,0.658,0.695,0.695,16.0,-1.4407916776262963,0.802066102905652,2.047730308611384
126.0,Iraq,0.531,,0.592,0.65,0.675,0.68,0.687,0.695,0.695,-2.0,1.0933803227719086,0.9390388414343587,0.5162470842597688
128.0,Tajikistan,,,0.554,0.639,0.658,0.664,0.672,0.687,0.691,0.0,,1.4376336415908852,0.60362505152316
129.0,Tuvalu,0.566,,0.61,0.636,0.658,0.681,0.681,0.686,0.689,-1.0,0.7514581711169921,0.418268372330477,0.617612545583035
130.0,Bangladesh,0.397,,0.477,0.561,0.621,0.663,0.663,0.68,0.685,9.0,1.8527565398614332,1.6352706991460408,1.5479971900453249
130.0,India,0.446,,0.501,0.59,0.633,0.652,0.647,0.676,0.685,5.0,1.1696591261433298,1.648606336743641,1.155052897276132
132.0,El Salvador,0.523,,0.607,0.66,0.667,0.66,0.663,0.674,0.678,-7.0,1.5006212027801835,0.8406240063518089,0.20719475938448806
133.0,Equatorial Guinea,,,0.508,0.612,0.656,0.668,0.671,0.677,0.674,-2.0,,1.8799612214453365,0.7450527965678466
133.0,"Palestine, State of",,,,0.691,0.712,0.718,0.718,0.733,0.674,-21.0,,,-0.1914297149618549
135.0,Cabo Verde,,,0.585,0.648,0.658,0.647,0.651,0.664,0.668,-7.0,,1.028036850637104,0.23410033551052312
136.0,Namibia,0.597,,0.561,0.591,0.63,0.647,0.631,0.649,0.665,0.0,-0.620031898298945,0.522310428596473,0.9115993965968627
137.0,Guatemala,0.499,,0.563,0.623,0.638,0.645,0.639,0.655,0.662,-4.0,1.2140457508313718,1.017813750126817,0.46816198640378115
138.0,Congo,0.573,,0.545,0.609,0.643,0.643,0.643,0.644,0.649,-6.0,-0.49974631264632086,1.1165117128306923,0.4905411482089228
139.0,Honduras,0.516,,0.558,0.596,0.61,0.625,0.628,0.643,0.645,1.0,0.7855916739717861,0.660992020087825,0.6096171845086484
140.0,Kiribati,,,,0.6,0.623,0.632,0.631,0.642,0.644,-2.0,,,0.5458618949166549
141.0,Sao Tome and Principe,,,,0.564,0.608,0.628,0.631,0.636,0.637,0.0,,,0.9406690796048833
142.0,Timor-Leste,,,0.507,0.645,0.628,0.65,0.644,0.633,0.634,-5.0,,2.4366047825729042,-0.13223067009351386
143.0,Ghana,0.432,,0.487,0.558,0.588,0.614,0.618,0.625,0.628,4.0,1.2055947556446567,1.370251450994786,0.913230923973396
143.0,Kenya,0.485,,0.5,0.552,0.583,0.6,0.608,0.626,0.628,5.0,0.3050564278485046,0.9943102174360341,0.9971861722039677
145.0,Nepal,0.404,,0.471,0.551,0.575,0.599,0.596,0.605,0.622,5.0,1.5462650157392233,1.581136902789626,0.9367082416745109
146.0,Vanuatu,,,,0.582,0.599,0.617,0.615,0.621,0.621,0.0,,,0.5001746734696777
147.0,Lao People's Democratic Republic,0.409,,0.473,0.556,0.604,0.616,0.613,0.614,0.617,-4.0,1.4644214283397794,1.6298688378580506,0.8039896205611186
148.0,Angola,,,0.391,0.528,0.603,0.61,0.609,0.615,0.616,-3.0,,3.0494590944132094,1.1928326359882835
149.0,Micronesia (Federated States of),,,0.596,0.603,0.604,0.609,0.611,0.614,0.615,-6.0,,0.11683349383180275,0.15169240655321659
150.0,Myanmar,0.347,,0.415,0.515,0.566,0.609,0.605,0.606,0.609,3.0,1.8056455671639382,2.18235631112329,1.2979774377501307
151.0,Cambodia,0.387,,0.438,0.543,0.562,0.595,0.594,0.602,0.606,5.0,1.245636394813654,2.172159318387501,0.8479647649620725
152.0,Comoros,,,0.461,0.534,0.565,0.592,0.594,0.602,0.603,2.0,,1.4808352704369643,0.9391623859211773
153.0,Zimbabwe,0.5,,0.458,0.512,0.567,0.582,0.581,0.594,0.598,-1.0,-0.8735513169631948,1.120788706927378,1.201515735616443
154.0,Zambia,0.422,,0.429,0.533,0.565,0.578,0.574,0.589,0.595,0.0,0.16465145081425714,2.1943749382666633,0.8500540092397646
155.0,Cameroon,0.448,,0.439,0.529,0.575,0.579,0.574,0.581,0.588,-5.0,-0.20273241307227075,1.8823878664774751,0.8166900668609145
156.0,Solomon Islands,,,0.547,0.564,0.576,0.579,0.577,0.583,0.584,-7.0,,0.30652331568190583,0.2684113594602744
157.0,Côte d'Ivoire,0.389,,0.419,0.465,0.519,0.553,0.557,0.565,0.582,10.0,0.7456822287850384,1.0471090720924447,1.7413965699849543
157.0,Uganda,0.342,,0.407,0.514,0.547,0.571,0.573,0.578,0.582,3.0,1.7552510972137503,2.361554112740527,0.9603294082722647
159.0,Rwanda,,,0.34,0.504,0.525,0.555,0.562,0.57,0.578,5.0,,4.014805650636011,1.0594000180240037
160.0,Papua New Guinea,0.403,,0.456,0.503,0.543,0.567,0.567,0.572,0.576,1.0,1.2432270833095505,0.9858009239235743,1.0478945938514395
161.0,Togo,0.412,,0.448,0.483,0.523,0.554,0.56,0.567,0.571,4.0,0.841217345298606,0.7550706015633013,1.295804922992172
162.0,Syrian Arab Republic,0.572,,0.594,0.669,0.549,0.57,0.571,0.571,0.564,-3.0,0.37811634276536665,1.1961446784201524,-1.3047199830548029
163.0,Mauritania,0.396,,0.468,0.525,0.551,0.554,0.553,0.562,0.563,-5.0,1.6845724056481437,1.1559294898602746,0.5389963525159525
164.0,Nigeria,0.379,,0.435,0.502,0.53,0.547,0.554,0.557,0.56,-2.0,1.3876378051983052,1.4428509259989175,0.844598034370514
165.0,Tanzania (United Republic of),0.381,,0.414,0.513,0.52,0.554,0.548,0.554,0.555,1.0,0.8341255895083277,2.167249673676186,0.607160937839657
166.0,Haiti,0.461,,0.497,0.452,0.552,0.555,0.548,0.552,0.554,-9.0,0.7547538468837933,-0.9445889272997832,1.5775642573073734
167.0,Lesotho,0.483,,0.462,0.478,0.517,0.537,0.532,0.547,0.55,1.0,-0.4435311083995974,0.3410386320358949,1.0851341454707342
168.0,Pakistan,0.396,,0.436,0.5,0.527,0.536,0.537,0.544,0.544,-5.0,0.9669251247486743,1.3790813443452787,0.6508871884723488
169.0,Senegal,0.377,,0.398,0.477,0.509,0.522,0.522,0.526,0.53,1.0,0.5435400261853518,1.8271364141630997,0.813758667370923
170.0,Gambia,0.331,,0.403,0.463,0.482,0.512,0.513,0.519,0.524,5.0,1.9876782631009116,1.397581035012796,0.9565818922052216
171.0,Congo (Democratic Republic of the),0.388,,0.391,0.44,0.477,0.506,0.508,0.514,0.522,8.0,0.07705187333710839,1.1876691090354496,1.3232388007479168
172.0,Malawi,0.306,,0.394,0.475,0.504,0.512,0.509,0.513,0.517,-1.0,2.559874215394542,1.8872261309644367,0.6538829289460812
173.0,Benin,0.351,,0.415,0.485,0.511,0.504,0.506,0.512,0.515,-4.0,1.6890284443000336,1.5709148560146602,0.46274436811495345
174.0,Guinea-Bissau,,,,0.452,0.481,0.498,0.502,0.511,0.514,2.0,,,0.9936821389711303
175.0,Djibouti,,,0.337,0.421,0.469,0.499,0.501,0.51,0.513,6.0,,2.2504479989455595,1.5319466788350278
176.0,Sudan,,,,0.479,0.498,0.513,0.512,0.516,0.511,-3.0,,,0.4986931463048183
177.0,Liberia,,,0.443,0.467,0.48,0.498,0.503,0.508,0.51,0.0,,0.5289891088930521,0.6798503154546331
178.0,Eritrea,,,,0.465,0.48,0.495,0.496,0.499,0.503,-1.0,,,0.6060813199596282
179.0,Guinea,0.282,,0.359,0.43,0.465,0.488,0.49,0.498,0.5,3.0,2.4435297756344454,1.821010011944435,1.1669322199511223
180.0,Ethiopia,,,0.293,0.415,0.456,0.486,0.487,0.494,0.497,4.0,,3.542357180751554,1.3966752161275409
181.0,Afghanistan,0.285,,0.351,0.465,0.496,0.501,0.486,0.495,0.496,-7.0,2.10481567407248,2.852436350072196,0.4976845182245837
182.0,Mozambique,0.246,,0.311,0.419,0.457,0.477,0.478,0.49,0.493,1.0,2.3723159100600633,3.0256500421517396,1.258922030122811
183.0,Madagascar,,,0.443,0.493,0.501,0.483,0.481,0.483,0.487,-11.0,,1.075132495363662,-0.09414835229479834
184.0,Yemen,0.359,,0.439,0.502,0.475,0.459,0.458,0.466,0.47,-4.0,2.03214272999801,1.3500388932461194,-0.5053910799083905
185.0,Sierra Leone,0.313,,0.318,0.41,0.432,0.454,0.458,0.463,0.467,0.0,0.15860757136707537,2.573617847258469,1.006353852528341
186.0,Burkina Faso,,,,0.377,0.419,0.453,0.454,0.457,0.459,1.0,,,1.5254020711675587
187.0,Burundi,0.294,,0.308,0.416,0.432,0.435,0.435,0.437,0.439,-2.0,0.4662838921381196,3.0514866492228787,0.41481299891665824
188.0,Mali,0.24,,0.32,0.41,0.413,0.414,0.414,0.417,0.419,0.0,2.9186008964760646,2.5093283139584477,0.1671684958040931
188.0,Niger,0.215,,0.266,0.339,0.374,0.404,0.413,0.414,0.419,3.0,2.151398728060827,2.454681166598416,1.6431287659069538
190.0,Chad,,,0.303,0.375,0.396,0.408,0.408,0.414,0.416,-1.0,,2.154820242338107,0.8013416480237012
